dataset,budget,repeats,method,dimension,metric,reference_coverage_q10_mean,reference_coverage_q10_ci_low,reference_coverage_q10_ci_high,reference_enrichment_q10_mean,reference_exact_recall_mean,reference_mean_nearest_sample_distance_mean,reference_mean_nearest_sample_distance_ci_low,reference_mean_nearest_sample_distance_ci_high,coverage_radius_mean
thiol,21,20,random,full,euclidean,0.3333333333333333,0.3027083333333332,0.3666666666666666,3.333333333333333,0.0,31.790308331253595,30.870197661666417,32.58194733677419,38.31026513741278
thiol,21,20,cvt,full,euclidean,0.3083333333333333,0.2861111111111111,0.3388888888888889,3.083333333333333,0.0027777777777777,26.623573029753675,26.39260090205444,26.83907373927857,34.24552164285294
thiol,21,20,scopemap_hd,full,euclidean,0.3694444444444444,0.3361111111111111,0.4028472222222219,3.694444444444444,0.0,25.151003551708943,24.57899245442475,25.7370781897879,34.294677050786206
thiol,21,20,fps,full,euclidean,0.375,0.3416666666666667,0.4055555555555556,3.749999999999999,0.0,42.85866675198367,40.66817907246216,45.49614612402993,47.56896125429688
thiol,21,20,kennard_stone,full,euclidean,0.5555555555555556,0.5555555555555556,0.5555555555555556,5.555555555555555,0.0,58.01534551595686,58.01534551595686,58.01534551595686,61.70405384225302
thiol,21,20,ward,full,euclidean,0.3333333333333332,0.3333333333333332,0.3333333333333332,3.333333333333333,0.0,24.93070594787013,24.93070594787013,24.93070594787013,34.50343497769789
thiol,21,20,random,tanimoto,tanimoto,0.111111111111111,0.0861111111111111,0.1388888888888888,1.1111111111111112,0.0,0.6840800986909704,0.6745918592024702,0.693839979585093,0.6802047998706227
thiol,21,20,cvt,tanimoto,tanimoto,0.1111111111111111,0.1111111111111111,0.1111111111111111,1.111111111111111,0.0,0.6114026100878092,0.6114026100878092,0.6114026100878092,0.6479503535743819
thiol,21,20,scopemap_hd,tanimoto,tanimoto,0.1666666666666666,0.1666666666666666,0.1666666666666666,1.6666666666666667,0.0,0.6723431620642184,0.6723431620642184,0.6723431620642184,0.6981155694626759
thiol,21,20,fps,tanimoto,tanimoto,0.2083333333333333,0.175,0.2416666666666666,2.083333333333333,0.0,0.6769290354447992,0.6657704256050917,0.6874857403071899,0.7133612272403432
thiol,21,20,kennard_stone,tanimoto,tanimoto,0.2166666666666666,0.1972222222222222,0.2361111111111111,2.1666666666666665,0.0,0.6601152794396385,0.6550535047945669,0.6647399149422181,0.7050458625877916
thiol,21,20,ward,tanimoto,tanimoto,0.1111111111111111,0.1111111111111111,0.1111111111111111,1.111111111111111,0.0,0.6114026100878092,0.6114026100878092,0.6114026100878092,0.6479503535743819
oxo_carboxide,21,20,random,2,euclidean,0.0527777777777777,0.0305555555555555,0.0777777777777777,0.5277777777777777,0.0,1.2638913391171067,1.1729827504590555,1.360087144640872,1.758088525516468
oxo_carboxide,21,20,cvt,2,euclidean,0.0638888888888889,0.0472222222222222,0.0778472222222218,0.6388888888888887,0.0,1.0087491028798157,0.9868388439048196,1.0287888071698197,1.0812150542635233
oxo_carboxide,21,20,scopemap_hd,2,euclidean,0.1111111111111111,0.0888888888888888,0.1333333333333333,1.1111111111111112,0.0,1.288085482386692,1.2284286071754225,1.3465654543021104,1.4183361305382804
oxo_carboxide,21,20,fps,2,euclidean,0.1333333333333333,0.0999305555555555,0.1722916666666663,1.3333333333333337,0.0,1.899524601867204,1.790363416308365,2.011716666875301,1.982402791500188
oxo_carboxide,21,20,kennard_stone,2,euclidean,0.0555555555555555,0.0555555555555555,0.0555555555555555,0.5555555555555555,0.0,2.0008652557000977,2.0008652557000977,2.0008652557000977,1.9358404481666285
oxo_carboxide,21,20,ward,2,euclidean,0.0555555555555555,0.0555555555555555,0.0555555555555555,0.5555555555555555,0.0,1.1581013101661837,1.1581013101661837,1.1581013101661837,1.124284374766281
oxo_carboxide,21,20,random,64,euclidean,0.1027777777777777,0.0777777777777777,0.1416666666666666,1.0277777777777777,0.0,17.391810126957942,16.709700937594462,18.015480645452534,18.168308391225
oxo_carboxide,21,20,cvt,64,euclidean,0.1138888888888888,0.1027777777777777,0.125,1.1388888888888888,0.0,14.547943096671004,14.399199796268306,14.70636412705975,15.604149584005246
oxo_carboxide,21,20,scopemap_hd,64,euclidean,0.1194444444444444,0.1111111111111111,0.1277777777777778,1.1944444444444442,0.0,14.61910192507536,14.33331779263164,14.93055572159273,16.402891422059177
oxo_carboxide,21,20,fps,64,euclidean,0.0805555555555555,0.05,0.1138888888888889,0.8055555555555556,0.0,25.499548559905325,23.517475315483345,27.72926509577404,25.11367549725825
oxo_carboxide,21,20,kennard_stone,64,euclidean,0.0555555555555555,0.0555555555555555,0.0555555555555555,0.5555555555555555,0.0,34.15782812555083,34.15782812555083,34.15782812555083,33.273518671631216
oxo_carboxide,21,20,ward,64,euclidean,0.0555555555555555,0.0555555555555555,0.0555555555555555,0.5555555555555555,0.0,14.38472369328198,14.38472369328198,14.38472369328198,15.73799001543882
oxo_carboxide,21,20,random,128,euclidean,0.1777777777777777,0.1333333333333333,0.2305555555555555,1.7777777777777777,0.0,21.60735657159041,20.615230001665655,22.54076721057096,23.55305575928234
oxo_carboxide,21,20,cvt,128,euclidean,0.1194444444444444,0.1111111111111111,0.1333333333333333,1.1944444444444442,0.0,19.03389506285644,18.59082960752581,19.327113462788187,20.70503733481443
oxo_carboxide,21,20,scopemap_hd,128,euclidean,0.1111111111111111,0.1111111111111111,0.1111111111111111,1.111111111111111,0.0,19.60489080707004,19.337867296924184,19.868987102463965,21.418903978242216
oxo_carboxide,21,20,fps,128,euclidean,0.0722222222222222,0.0527777777777777,0.0916666666666666,0.7222222222222221,0.0,30.84845564719505,28.509671149444163,33.4292452563308,31.122715623190725
oxo_carboxide,21,20,kennard_stone,128,euclidean,0.0555555555555555,0.0555555555555555,0.0555555555555555,0.5555555555555555,0.0,41.81988395551313,41.81988395551313,41.81988395551313,41.61714564997315
oxo_carboxide,21,20,ward,128,euclidean,0.1111111111111111,0.1111111111111111,0.1111111111111111,1.111111111111111,0.0,19.62374615712917,19.62374615712917,19.62374615712917,20.87270944705397
oxo_carboxide,21,20,random,full,euclidean,0.1861111111111111,0.1666666666666666,0.2083333333333333,1.8611111111111107,0.0,37.22018370648188,36.55033604482165,37.90451831580571,38.38624146166463
oxo_carboxide,21,20,cvt,full,euclidean,0.1833333333333333,0.1666666666666666,0.2083333333333333,1.8333333333333333,0.0,31.75634542754609,31.24238186517438,32.18422782497752,33.93622889730152
oxo_carboxide,21,20,scopemap_hd,full,euclidean,0.1694444444444444,0.1666666666666666,0.175,1.6944444444444442,0.0,32.46092498993944,32.25434082133303,32.66539044220819,34.18035871670936
oxo_carboxide,21,20,fps,full,euclidean,0.2444444444444444,0.2194444444444444,0.2722222222222222,2.444444444444444,0.0,46.33748095717211,43.89976271169145,48.89057026049792,47.089221681264
oxo_carboxide,21,20,kennard_stone,full,euclidean,0.1666666666666666,0.1666666666666666,0.1666666666666666,1.6666666666666667,0.0,57.42156745367036,57.42156745367036,57.42156745367036,57.81094278219515
oxo_carboxide,21,20,ward,full,euclidean,0.3333333333333332,0.3333333333333332,0.3333333333333332,3.333333333333333,0.0,28.50205304923565,28.50205304923565,28.50205304923565,33.67690326934595
oxo_carboxide,21,20,random,tanimoto,tanimoto,0.1,0.05,0.1555555555555555,1.0,0.0,0.6376798757807892,0.6201766360606913,0.6545484724126431,0.6372660860463109
oxo_carboxide,21,20,cvt,tanimoto,tanimoto,0.1111111111111111,0.1111111111111111,0.1111111111111111,1.111111111111111,0.0,0.6202456191384546,0.6202456191384546,0.6202456191384546,0.6168996921724541
oxo_carboxide,21,20,scopemap_hd,tanimoto,tanimoto,0.0555555555555555,0.0555555555555555,0.0555555555555555,0.5555555555555555,0.0,0.6435138267568518,0.6435138267568518,0.6435138267568518,0.6510732562783706
oxo_carboxide,21,20,fps,tanimoto,tanimoto,0.1833333333333333,0.1222222222222221,0.2555555555555555,1.8333333333333333,0.0,0.6470185593361325,0.6269769418288643,0.6668369763672245,0.6797800347204223
oxo_carboxide,21,20,kennard_stone,tanimoto,tanimoto,0.1111111111111111,0.1111111111111111,0.1111111111111111,1.111111111111111,0.0,0.6606501291110276,0.6606501291110276,0.6606501291110276,0.6888158291178209
oxo_carboxide,21,20,ward,tanimoto,tanimoto,0.1111111111111111,0.1111111111111111,0.1111111111111111,1.111111111111111,0.0,0.6202456191384546,0.6202456191384546,0.6202456191384546,0.6168996921724541
styrene,21,20,random,2,euclidean,0.1428571428571428,0.0999999999999999,0.1892857142857142,1.4285714285714286,0.0,0.8131280993539912,0.7183988247599166,0.912775587678476,1.7048365126199556
styrene,21,20,cvt,2,euclidean,0.1035714285714285,0.0678571428571428,0.1392857142857143,1.0357142857142854,0.0,0.7475009978563407,0.7196542485802102,0.77396437249998,0.9909913326722414
