analysis_type,dataset,method,dimension,budget,budget_spent,failure_recall_mean,failure_cluster_coverage_mean,boundary_coverage_mean,boundary_enrichment_mean,coverage_radius_mean,compactness_score,pareto_metric_count
prospective_final,buchwald_hartwig,ward,32,120,120.0,0.0342976646915301,1.0,0.0359657947686116,1.1853726525821595,4.218136462648889,-4.218136462648889,5
prospective_final,cobalt,random,2,24,24.0,0.3948571428571428,0.905,0.36,0.9,0.5723808499255402,-0.5723808499255402,5
prospective_final,cobalt,fps,2,24,24.0,0.3714285714285714,1.0,0.0666666666666666,0.1666666666666666,0.342333370690383,-0.342333370690383,5
prospective_final,cobalt,random,8,24,24.0,0.3897142857142857,0.905,0.4093333333333333,1.0233333333333332,3.666971173823736,-3.666971173823736,5
prospective_final,cobalt,cvt,8,24,24.0,0.3794285714285714,1.0,0.304,0.76,2.5658683535163807,-2.5658683535163807,5
prospective_final,cobalt,uncertainty,8,24,24.0,0.4022857142857143,0.915,0.3386666666666666,0.8466666666666666,3.600784221531285,-3.600784221531285,5
prospective_final,cobalt,uncertainty_diversity,8,24,24.0,0.4085714285714286,0.95,0.2906666666666667,0.7266666666666666,3.213213129711347,-3.213213129711347,5
prospective_final,cobalt,random,16,24,24.0,0.3948571428571428,0.82,0.3933333333333333,0.9833333333333332,6.650462291461428,-6.650462291461428,5
prospective_final,cobalt,weighted_itr_cvt,16,24,24.0,0.3908571428571429,1.0,0.3013333333333333,0.7533333333333333,4.509237361597206,-4.509237361597206,5
prospective_final,cobalt,ward,16,24,24.0,0.396,1.0,0.368,0.92,4.600566140177069,-4.600566140177069,5
prospective_final,cobalt,cvt,full,24,24.0,0.3388571428571428,0.98,0.4066666666666666,1.0166666666666666,14.195501577249535,-14.195501577249535,5
prospective_final,cobalt,weighted_itr_cvt,full,24,24.0,0.352,0.96,0.4106666666666667,1.0266666666666666,14.190088493034027,-14.190088493034027,5
prospective_final,cobalt,random,tanimoto,24,24.0,0.3417142857142857,0.8,0.455,1.1375,0.3717431307876531,-0.3717431307876531,5
prospective_final,cobalt,cvt,tanimoto,24,24.0,0.3714285714285714,1.0,0.375,0.9375,0.3674147522213584,-0.3674147522213584,5
prospective_final,cobalt,weighted_itr_cvt,tanimoto,24,24.0,0.3714285714285714,1.0,0.375,0.9375,0.3674147522213584,-0.3674147522213584,5
prospective_final,cobalt,fps,tanimoto,24,24.0,0.4285714285714285,1.0,0.1875,0.46875,0.3442726934073177,-0.3442726934073177,5
prospective_final,cobalt,ward,tanimoto,24,24.0,0.3714285714285714,1.0,0.375,0.9375,0.3674147522213584,-0.3674147522213584,5
prospective_final,cobalt,repulsive_fps,tanimoto,24,24.0,0.4571428571428571,1.0,0.25,0.625,0.3525195341038686,-0.3525195341038686,5
prospective_final,cobalt,uncertainty,tanimoto,24,24.0,0.4519999999999999,0.855,0.3675,0.9187499999999998,0.361707900864706,-0.361707900864706,5
prospective_final,cobalt,uncertainty_diversity,tanimoto,24,24.0,0.4685714285714285,0.895,0.3575,0.8937499999999998,0.3552051307832626,-0.3552051307832626,5
prospective_final,suzuki_miyaura,cvt,2,120,120.0,0.0251282051282051,0.98125,0.0208333333333333,1.0,0.0,-0.0,5
prospective_final,suzuki_miyaura,fps,2,120,120.0,0.0279217273954116,0.63125,0.0208333333333333,1.0,6.622738308376735e-10,-6.622738308376735e-10,5
